"regime","rule","n","boundary","tmb","held","usable","cover_all","usable_boundary","cover_boundary","se_sd"
"clean","B",400,0,0,0,400,0.9503125,0,NA,1.00250037435614
"clean","A",400,0,0,0,400,0.9503125,0,NA,1.00250037435614
"clean","C",400,0,0,0,400,0.9503125,0,NA,1.00250037435614
"clean","C3",400,0,0,0,400,0.9503125,0,NA,1.00250037435614
"unbalanced","B",400,0,0,0,400,0.9434375,0,NA,0.957218970005047
"unbalanced","A",400,0,0,0,400,0.9434375,0,NA,0.957218970005047
"unbalanced","C",400,0,0,0,400,0.9434375,0,NA,0.957218970005047
"unbalanced","C3",400,0,0,0,400,0.9434375,0,NA,0.957218970005047
"rare","B",400,13,0,8,394,0.930203045685279,7,0.892857142857143,18.200885297228
"rare","A",400,13,0,8,394,0.92988578680203,7,0.875,18.2006628759447
"rare","C",400,13,0,8,394,0.930203045685279,7,0.892857142857143,18.2008918959038
"rare","C3",400,13,0,8,394,0.930203045685279,7,0.892857142857143,18.200885297228
"flat_re","B",400,343,0,343,395,0.94746835443038,338,0.946745562130177,0.992429311332438
"flat_re","A",400,343,0,343,395,0.94620253164557,338,0.945266272189349,0.986987762031133
"flat_re","C",400,343,0,343,395,0.94746835443038,338,0.946745562130177,0.992584220318321
"flat_re","C3",400,343,0,343,395,0.94746835443038,338,0.946745562130177,0.992429311301498
"heavy_re","B",400,0,0,0,400,0.935625,0,NA,1.02924385863767
"heavy_re","A",400,0,0,0,400,0.935625,0,NA,1.02924385863767
"heavy_re","C",400,0,0,0,400,0.935625,0,NA,1.02924385863767
"heavy_re","C3",400,0,0,0,400,0.935625,0,NA,1.02924385863767
"combined","B",400,63,0,57,394,0.943210659898477,57,0.910087719298246,20.3624054195599
"combined","A",400,63,0,57,394,0.942258883248731,57,0.903508771929825,20.360389758132
"combined","C",400,63,0,57,394,0.943210659898477,57,0.910087719298246,20.3624489667056
"combined","C3",400,63,0,57,394,0.943210659898477,57,0.910087719298246,20.3624054198625
"rank_one","B",400,245,0,245,378,0.948743386243386,225,0.947222222222222,0.980643517958808
"rank_one","A",400,245,0,245,378,0.943452380952381,225,0.938333333333333,0.962805968300175
"rank_one","C",400,245,0,245,378,0.948743386243386,225,0.947222222222222,0.980682245815803
"rank_one","C3",400,245,0,245,378,0.948743386243386,225,0.947222222222222,0.980643522383589
"slope_zero","B",400,272,0,270,396,0.953282828282828,268,0.951492537313433,1.00937205932647
"slope_zero","A",400,272,0,270,396,0.950757575757576,268,0.947761194029851,0.995194736311895
"slope_zero","C",400,272,0,270,396,0.953282828282828,268,0.951492537313433,1.00942524929404
"slope_zero","C3",400,272,0,270,396,0.953282828282828,268,0.951492537313433,1.00937205932647
"slope_small","B",400,225,0,222,398,0.948492462311558,223,0.946188340807175,0.995663361730002
"slope_small","A",400,225,0,222,398,0.944723618090452,223,0.939461883408072,0.983997101115776
"slope_small","C",400,225,0,222,398,0.948492462311558,223,0.946188340807175,0.995663386591245
"slope_small","C3",400,225,0,222,398,0.948492462311558,223,0.946188340807175,0.995663361730002
"slope_cor1","B",400,272,0,266,393,0.951653944020356,265,0.949056603773585,1.00498532318666
"slope_cor1","A",400,272,0,266,393,0.947837150127226,265,0.943396226415094,0.997525461718004
"slope_cor1","C",400,272,0,266,392,0.95280612244898,264,0.950757575757576,1.0084761979708
"slope_cor1","C3",400,272,0,266,392,0.95280612244898,264,0.950757575757576,1.0079661187042
